"timestamp","source","event","user","resource_id","resource_type","resource_data","tags"
"2022-10-10 00:00:04.740","shipping-splitter-api","post-response","shipping-splitter-api","41713649980","shipment","{""current"":{""body"":""{\""error\"": \""Shipment 41713649980 can't be splitted at this point. Invalid status.\""}"",""requestId"":""38d1d301-4779-4b6d-ba13-10020fb7bcb4"",""status"":422},""previous"":null}",""
"2022-10-10 00:00:06.223","shipping-splitter-api","post-response","shipping-splitter-api","41713649980","shipment","{""current"":{""body"":""{\""error\"": \""Shipment 41713649980 can't be splitted at this point. Invalid status.\""}"",""requestId"":""072c434c-e03d-40f8-ab9e-a1e00d2934dc"",""status"":422},""previous"":null}",""
"2022-10-10 00:00:21.226","shipping-splitter-api","post-response","shipping-splitter-api","41712850153","shipment","{""current"":{""body"":""{}"",""requestId"":""aa6cbc44-69b2-4c44-a4c4-42250f7d0757"",""status"":200},""previous"":null}",""
"2022-10-10 00:00:26.279","shipping-splitter-api","post-response","shipping-splitter-api","41713649980","shipment","{""current"":{""body"":""{\""error\"": \""Shipment 41713649980 can't be splitted at this point. Invalid status.\""}"",""requestId"":""25c7b3fb-5d49-4e64-a26d-cb8713d0b001"",""status"":422},""previous"":null}",""
"2022-10-10 00:00:32.139","shipping-splitter-api","post-response","shipping-splitter-api","41713279852","shipment","{""current"":{""body"":""{\""snapshot_id\"":\""splitter-bca736a1-4d0b-4df0-894d-90486a963e9a\"",\""generated_packs\"":[{\""id\"":2000003873706093,\""status\"":\""empty\"",\""status_detail\"":null,\""config\"":{\""shipment\"":{\""package_id\"":\""41713279852-3\"",\""snapshot_id\"":\""splitter-bca736a1-4d0b-4df0-894d-90486a963e9a\""}},\""family_pack_id\"":2000003873267347,\""purchase_id\"":2000003873248775},{\""id\"":2000003873706095,\""status\"":\""empty\"",\""status_detail\"":null,\""config\"":{\""shipment\"":{\""package_id\"":\""41713279852-2\"",\""snapshot_id\"":\""splitter-bca736a1-4d0b-4df0-894d-90486a963e9a\""}},\""family_pack_id\"":2000003873267347,\""purchase_id\"":2000003873248775},{\""id\"":2000003873706097,\""status\"":\""empty\"",\""status_detail\"":null,\""config\"":{\""shipment\"":{\""package_id\"":\""41713279852-1\"",\""snapshot_id\"":\""splitter-bca736a1-4d0b-4df0-894d-90486a963e9a\""}},\""family_pack_id\"":2000003873267347,\""purchase_id\"":2000003873248775}],\""status\"":\""split\""}"",""requestId"":""82983b97-33a0-40c1-815c-7a7a0188ea7f"",""status"":200},""previous"":null}",""
"2022-10-10 00:00:55.716","shipping-splitter-api","post-response","shipping-splitter-api","41709959817","shipment","{""current"":{""body"":""{}"",""requestId"":""7d6a13d8-bbaf-4ea6-8438-536faba05e75"",""status"":200},""previous"":null}",""
"2022-10-10 00:01:07.760","shipping-splitter-api","post-response","shipping-splitter-api","41712336272","shipment","{""current"":{""body"":""{\""error\"": \""Pack count should be between 2, 2\""}"",""requestId"":""7b074136-5ce9-4706-8483-d928a7893884"",""status"":400},""previous"":null}",""
